,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,SEPTIEMBRE 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,SEPTIEMBRE 2020,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,
CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020
,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREALES,,,,,,,,,,,,,,HORTALIZAS,,,,,,,,,,,,,
trigo blando,,,9,"1,686.9","1,651.8","1,658.2",100.4,,9,"6,703.2","5,094.6","7,120.2",139.8,habas verdes (8),,,6,6.0,6.5,6.2,95.7,,6,50.9,57.0,54.7,95.9
trigo duro,,,9,374.6,266.6,251.3,94.2,,9,"1,282.5",704.1,819.3,116.4,endivias (9),,,8,24.1,19.1,38.3,200.5,,9,5.7,4.6,8.8,192.7
trigo total,,,9,"2,061.5","1,918.4","1,909.5",99.5,,9,"7,985.7","5,798.7","7,939.5",136.9,escarolas,,,10,2.5,2.3,2.4,100.5,,3,70.3,64.7,66.1,102.2
cebada de seis carreras,,,9,336.7,267.1,286.7,107.3,,9,"1,020.7",612.4,996.4,162.7,espinacas,,,9,4.5,4.3,5.1,117.6,,6,81.5,79.2,77.2,97.5
cebada de dos carreras,,,9,"2,232.8","2,426.4","2,477.4",102.1,,9,"8,108.9","6,787.5","9,964.2",146.8,champiñón (9),,,5,45.6,25.2,43.5,172.7,,6,149.8,151.8,148.4,97.8
cebada total,,,9,"2,569.5","2,693.5","2,764.1",102.6,,9,"9,129.5","7,400.0","10,960.6",148.1,otras setas (9),,,5,9.4,5.0,9.3,185.6,,6,16.5,18.3,16.9,92.3
avena,,,9,556.5,453.4,508.6,112.2,,9,"1,486.9",808.3,"1,290.4",159.6,brócoli,,,9,33.5,31.5,32.0,101.6,,5,543.1,531.9,,
centeno,,,9,136.3,138.1,137.1,99.3,,9,388.5,251.3,388.5,154.6,apio,,,5,1.9,2.0,1.9,93.0,,5,94.7,114.9,107.9,93.9
triticale,,,9,213.1,250.8,257.6,102.7,,9,649.0,576.5,763.2,132.4,pepino,,,3,7.5,7.4,7.4,99.4,,6,643.6,739.2,804.2,108.8
cereales otoño invierno,,,,"5,536.8","5,454.2","5,576.8",102.2,,,"19,639.7","14,834.8","21,342.3",143.9,pepinillo (9),,,6,0.4,0.3,0.4,133.3,,9,0.0,0.0,0.0,116.7
maíz,,,7,322.4,356.8,347.7,97.4,,9,"3,842.5","4,184.5","4,067.2",97.2,berenjena,,,4,3.6,3.5,3.9,113.6,,8,238.3,245.1,282.0,115.0
sorgo,,,6,6.0,6.6,5.5,84.0,,7,25.6,25.1,24.6,97.8,calabaza,,,5,4.1,4.1,4.4,106.6,,9,121.3,129.1,150.8,116.8
arroz (2),,,9,105.0,103.4,101.9,98.6,,9,808.2,787.8,782.2,99.3,calabacín,,,5,11.1,10.9,11.1,102.6,,7,596.3,605.5,595.9,98.4
,,,,,,,,,,,,,,zanahoria,,,5,6.6,6.7,7.0,104.6,,9,382.4,384.3,407.9,106.1
LEGUMINOSAS GRANO,,,,,,,,,,,,,,nabo (10),,,3,6.3,5.9,5.2,88.1,,5,65.7,69.6,79.8,114.7
judías secas,,,8,9.3,9.3,9.4,100.6,,8,17.1,14.6,18.1,124.1,rábano (9),,,3,23.3,21.2,21.8,102.8,,6,4.2,3.9,4.0,102.2
habas secas,,,8,23.2,22.1,21.4,97.0,,8,34.8,23.5,34.5,147.0,puerro,,,11,2.8,2.9,2.9,100.4,,3,81.6,80.3,87.0,108.4
lentejas,,,8,44.1,50.3,36.6,72.8,,8,42.8,35.3,46.4,131.4,,,,,,,,,,,,,,
garbanzos,,,8,70.6,53.2,38.2,71.8,,8,91.5,50.0,45.1,90.3,CÍTRICOS,,,,,,,,,,,,,
guisantes secos,,,8,149.0,145.4,119.7,82.3,,8,262.6,160.1,227.3,142.0,naranja dulce,,,,,,,,,8,"3,930.4","3,279.5","3,449.5",105.2
veza,,,8,103.1,78.1,83.1,106.4,,8,135.6,62.5,122.9,196.8,limón,,,,,,,,,8,"1,148.6",931.1,"1,031.3",110.8
altramuz dulce,,,8,3.0,2.4,2.0,83.7,,8,2.8,1.7,1.9,113.9,pomelo,,,,,,,,,4,80.6,70.6,,
yeros,,,8,54.9,43.1,43.2,100.1,,8,63.1,31.5,63.7,202.3,satsumas,,,,,,,,,9,205.3,144.5,155.5,107.6
,,,,,,,,,,,,,,clementinas,,,,,,,,,1,"1,533.6",949.8,,
TUBÉRCULOS,,,,,,,,,,,,,,híbridos (mandarina),,,,,,,,,3,646.1,737.7,,
patata extratemprana,,,4,3.6,3.6,3.6,100.5,,4,76.0,84.4,88.5,104.9,mandarina total (11),,,,,,,,,,"2,385.0","1,831.9",,
patata temprana,,,6,14.4,13.9,14.1,101.6,,6,392.7,434.2,440.0,101.3,,,,,,,,,,,,,,
patata media estación,,,9,29.9,29.6,31.7,107.2,,9,818.4,917.1,933.3,101.8,FRUTALES,,,,,,,,,,,,,
patata tardía,,,8,19.6,19.6,17.9,91.2,,9,723.9,823.6,682.7,82.9,manzana sidra,,,,,,,,,8,79.3,82.4,90.9,110.3
patata total,,,7,67.5,66.7,67.3,101.0,,9,"2,010.9","2,259.3","2,144.5",94.9,manzana de mesa,,,,,,,,,9,483.6,556.4,511.8,92.0
,,,,,,,,,,,,,,manzana total,,,,,,,,,,563.0,638.8,602.7,94.3
CULTIVOS INDUSTRIALES,,,,,,,,,,,,,,pera total,,,,,,,,,9,332.3,330.7,320.1,96.8
remolacha azucarera (r. verano),,,9,7.6,6.3,6.8,107.7,,9,699.3,480.9,599.0,124.6,albaricoque,,,,,,,,,8,176.3,145.8,131.6,90.3
remolacha azucarera (r. invierno),,,9,27.7,23.9,20.1,84.0,,9,"2,170.9","2,271.8","1,959.8",86.3,cereza y guinda,,,,,,,,,6,107.0,118.8,95.1,80.0
remolacha total,,,,35.3,30.2,26.8,89.0,,,"2,870.3","2,752.7","2,558.8",93.0,melocotón (12),,,,,,,,,9,903.8,937.2,794.2,84.7
algodón (3),,,7,65.1,66.1,61.6,93.2,,9,194.5,210.0,192.5,91.6,ciruela,,,,,,,,,6,153.0,179.8,151.5,84.2
girasol,,,6,691.3,701.8,651.1,92.8,,9,950.3,773.8,885.1,114.4,plátano,,,,,,,,,8,386.2,398.7,409.8,102.8
soja,,,9,1.5,1.6,1.4,90.8,,9,4.2,5.1,4.2,82.8,higo,,,,,,,,,8,47.8,51.6,45.0,87.2
colza,,,7,78.4,70.3,71.8,102.2,,7,175.2,144.0,201.1,139.7,kiwi,,,,,,,,,9,23.8,24.5,25.3,103.4
tabaco (4),,,9,8.5,8.7,8.1,93.9,,9,26.0,27.8,26.5,95.3,aguacate,,,,,,,,,3,89.6,97.7,,
,,,,,,,,,,,,,,nectarina,,,,,,,,,8,547.1,605.1,466.0,77.0
CULTIVOS FORRAJEROS,,,,,,,,,,,,,,nuez (13),,,,,,,,,9,15.2,17.5,15.3,87.0
maíz forrajero (5),,,8,107.3,116.5,108.9,93.5,,8,"4,055.5","4,120.4","4,142.5",100.5,castaña,,,,,,,,,9,184.8,188.9,161.9,85.7
alfalfa (5),,,8,260.3,259.3,254.6,98.2,,8,"9,900.8","9,093.9","9,879.8",108.6,frambuesa,,,,,,,,,6,43.7,60.0,51.8,86.3
